RabbitID,SurgeryID,AgeWeeks,WeightKg,Sex,Strain,SurgeryType,DurationMin,AnesthesiaProtocol,LocalBlock,IntraOpAnalgesicMgPerKg,PreOpGrimace,PreOpBehaviorScore,PreOpBiomarker,Housing,VetID,SurgeryPainBoost,LatentPain,ExpectedPainDurationDays,DurationPerKg,PreOpGrimaceFilled,PreOpBiomarkerFilled,PreOpRiskScore,SurgeryComplexity,AnalgesiaNeedScore,AnalgesiaNeedCategory,FirstPostOpGrimace,RescueAnalgesiaGiven,AnalgesicScore,VetBiasFlag,DurationPerKg_x_PreOpGrimace,PreOpRiskScore_x_SurgeryComplexity,DurationPerKg_x_AnalgesicScore,LocalBlock_x_PreOpGrimace,BaselineAnalgesiaNeedScore,BaselineAnalgesiaNeedCategory
442,8192,27,2.16,Male,Californian,Castration,20,Protocol1,0,0.02016158097231511,2.0,0,50.84,Group,Vet8,5.5,48.328196614883,3,9.25925925925926,2.0,50.84,19.094,Minor,53.22364240790526,Medium,1.0,False,-0.8528865585077722,-0.5641643704916243,18.51851851851852,0.0,-7.897097763960853,0.0,36,Medium
443,1144,35,2.19,Male,Californian,Catheter,20,Protocol2,0,0.04233956341990323,3.0,5,56.31,Group,Vet8,1.5,46.77998017873593,1,9.132420091324201,3.0,56.31,21.6585,Minor,50.53169115951096,Medium,3.0,False,-0.8034552901296734,0.0546670901639172,27.397260273972606,0.0,-7.337491234060945,0.0,29,Low
444,6938,17,4.15,Male,Californian,Castration,20,Protocol1,0,0.3827258816490283,0.0,3,46.57,Single,Vet9,5.5,38.21273388844836,4,4.8192771084337345,0.0,46.57,16.2995,Minor,35.635447450953436,Medium,0.0,False,-0.15395024670521235,-1.834442999949462,0.0,0.0,-0.7419288997841558,0.0,40,Medium
445,3575,37,2.72,Male,Dutch Belted,Castration,29,Protocol2,0,1.3907380873838742,2.0,1,39.33,Single,Vet10,5.5,40.32484477659408,2,10.661764705882351,2.0,39.33,15.0655,Minor,39.30786650641874,Medium,1.0,False,1.1045324497403841,-0.4211467620244322,21.323529411764703,0.0,11.7762650891438,0.0,42,Medium
446,2437,29,3.72,Male,New Zealand White,Castration,28,Protocol1,1,2.2986263876814705,4.0,4,37.02,Single,Vet7,5.5,36.194657563325,4,7.526881720430107,4.0,37.02,15.557,Minor,32.12653037971343,Low,5.0,0,1.8443992630965373,0.7395898364757038,30.10752688172043,0.0,13.882575098576087,4.0,43,Medium
447,3354,19,3.2,Male,New Zealand White,Castration,20,Protocol2,0,0.4138570111251585,2.0,3,64.36,Group,Vet10,5.5,50.6133139867412,1,6.25,2.0,64.36,23.826,Minor,57.19687536053416,Medium,4.0,False,-0.10277707931639408,-0.4211467620244322,12.5,0.0,-0.642356745727463,0.0,32,Low
448,3218,21,3.41,Female,New Zealand White,Ovariohysterectomy,95,Protocol2,1,0.3894218325112937,2.0,2,58.99,Group,Vet4,8.0,52.57364296214838,4,27.85923753665689,2.0,58.99,21.9465,Major,60.605384603430224,Medium,4.0,False,-0.1428468997113487,-0.427887665124681,55.71847507331378,21.9465,-3.9796057104334683,2.0,54,Medium
449,8096,45,4.21,Male,New Zealand White,BoneDefect,130,Protocol2,1,0.04035431142771319,4.0,2,64.33,Single,Vet10,12.0,61.65269095339993,9,30.878859857482187,4.0,64.33,25.1155,Major,76.39152018735695,High,4.0,1,-0.8078370392682843,0.8164789239247752,123.51543942992875,25.1155,-24.945086723248686,4.0,76,High
450,7981,26,2.12,Female,Californian,Ovariohysterectomy,64,Protocol1,1,0.018696838052188892,2.0,0,48.72,Group,Vet8,8.0,50.222292698747026,6,30.188679245283016,2.0,48.72,18.352,Major,56.516989641852454,Medium,0.0,False,-0.8561889730730832,-0.5641643704916243,60.37735849056603,18.352,-25.847214281451564,2.0,59,Medium
451,8991,37,2.42,Female,Dutch Belted,OcularImplant,139,Protocol2,1,0.024440621820532485,2.0,2,66.09,Single,Vet1,10.0,60.61543696446904,7,57.43801652892562,2.0,66.09,24.4315,Major,74.58800156734193,High,2.0,1,-0.8432661077778049,-0.41819435392072657,114.87603305785125,24.4315,-48.435532636824334,2.0,62,Medium
452,6370,31,2.37,Female,New Zealand White,OcularImplant,142,Protocol1,0,2.5395533135204587,4.0,2,44.17,Group,Vet1,10.0,49.76232635186029,6,59.915611814345986,4.0,44.17,18.0595,Major,55.71722615090119,Medium,5.0,True,2.0064241795037194,0.8278223430497808,239.66244725738395,18.0595,120.2161322740625,0.0,69,Medium
453,3956,26,2.51,Female,Dutch Belted,BoneDefect,160,Protocol2,1,0.032648762557726675,4.0,5,41.74,Group,Vet1,12.0,56.98327414295664,7,63.74501992031873,4.0,41.74,17.209,Major,68.2726021093214,Medium,4.0,False,-0.8249239209027631,0.8278223430497808,254.98007968127493,17.209,-52.58479177069407,4.0,67,Medium
454,9402,14,4.7,Male,Californian,OcularImplant,111,Protocol1,1,2.0887511182727745,3.0,4,37.3,Group,Vet8,10.0,35.406028789833506,7,23.617021276595743,3.0,37.3,15.004999999999999,Major,30.75530723432212,Low,4.0,0,1.693303520905919,0.0546670901639172,70.85106382978722,15.004999999999999,39.990785280969575,3.0,63,Medium
455,4708,14,1.69,Female,New Zealand White,Catheter,28,Protocol2,0,2.2309261572602206,0.0,0,50.08,Single,Vet8,1.5,29.5754574894113,2,16.568047337278106,0.0,50.08,17.528,Minor,20.617439346752032,Low,1.0,0,1.7967364724563055,-1.8018272918027072,0.0,0.0,29.76841492827015,0.0,31,Low
456,9328,28,4.29,Male,Dutch Belted,Castration,20,Protocol2,0,0.0320427911304568,1.0,2,34.6,Group,Vet8,5.5,35.631824591495395,1,4.662004662004662,1.0,34.6,12.76,Minor,31.147908214375384,Low,0.0,0,-0.8262730520093738,-1.1829958311471658,4.662004662004662,0.0,-3.8520888205565216,0.0,44,Medium
457,4544,33,2.63,Female,New Zealand White,OcularImplant,78,Protocol2,1,0.030419869155343712,1.0,1,41.98,Group,Vet10,10.0,46.82119291531509,6,29.657794676806084,1.0,41.98,15.342999999999998,Major,50.60334953691464,Medium,0.0,False,-0.8298902211206527,-1.0399596049990358,29.657794676806084,15.342999999999998,-24.612713782285518,1.0,54,Medium
458,1815,20,1.8,Female,Dutch Belted,Ovariohysterectomy,92,Protocol2,0,2.4982879441507295,1.0,4,63.57,Single,Vet4,8.0,56.2107623832117,4,51.11111111111111,1.0,63.57,22.899499999999996,Major,66.92940231664905,Medium,0.0,True,1.9794710979956374,-1.0495357823812932,51.11111111111111,22.899499999999996,101.17296723088812,0.0,66,Medium
459,7277,44,4.89,Female,Californian,BoneDefect,136,Protocol1,1,0.07115526490737548,5.0,2,52.54,Single,Vet6,12.0,57.79422311343938,9,27.811860940695297,5.0,52.54,21.639,Major,69.68263435191136,Medium,3.0,False,-0.7407777278317349,1.3679124120037225,139.05930470347647,21.639,-20.60240715442044,5.0,74,High
460,3274,45,3.5,Female,Dutch Belted,Catheter,31,Protocol1,0,0.026721601361340403,1.0,2,62.18,Group,Vet2,1.5,45.346710017127194,2,8.857142857142858,1.0,62.18,22.412999999999997,Minor,48.03960199759068,Medium,0.0,False,-0.8381542502959193,-1.0187722656704263,8.857142857142858,0.0,-7.4236519311924285,0.0,27,Low
461,6289,35,4.08,Male,Dutch Belted,BoneDefect,101,Protocol1,1,0.02643700716947485,3.0,2,33.37,Single,Vet8,12.0,48.22918266861602,7,24.754901960784313,3.0,33.37,13.6295,Major,53.05148255348261,Medium,2.0,True,-0.8387914282083131,0.0546670901639172,74.26470588235294,13.6295,-20.764199570843044,3.0,72,High
462,4279,40,1.83,Female,Dutch Belted,OcularImplant,66,Protocol1,0,0.0305166340294481,3.0,2,63.62,Single,Vet7,10.0,66.71085970707098,6,36.0655737704918,3.0,63.62,24.217,Major,85.18637817563655,High,2.0,1,-0.8296743918702303,0.1441170773432314,108.19672131147541,24.217,-29.922682985483714,0.0,54,Medium
463,6837,43,4.28,Female,Dutch Belted,OcularImplant,129,Protocol1,0,0.04806229997776736,0.0,4,55.82,Single,Vet8,10.0,53.0524110457013,7,30.14018691588785,0.0,55.82,19.537,Major,61.43783949159756,Medium,0.0,False,-0.7908708982813829,-1.8018272918027072,0.0,19.537,-23.836996700537007,0.0,69,Medium
464,7278,27,2.24,Male,Californian,Catheter,41,Protocol1,0,0.28855556918770686,5.0,5,32.56,Group,Vet8,1.5,34.97330559673779,1,18.303571428571427,5.0,32.56,14.646,Minor,30.002912599653264,Low,5.0,0,-0.3160683619907028,1.292330011475,91.51785714285714,0.0,-5.785179840008399,0.0,29,Low
465,9422,34,3.32,Female,Californian,Ovariohysterectomy,112,Protocol1,1,0.04269661455044068,4.0,4,47.23,Single,Vet7,8.0,51.20804167296089,3,33.734939759036145,4.0,47.23,19.130499999999998,Major,58.230954252861366,Medium,4.0,False,-0.8026681102236208,0.7395898364757038,134.93975903614458,19.130499999999998,-27.077960344893235,4.0,64,Medium
466,1076,44,1.2000000000000002,Male,Dutch Belted,BoneDefect,105,Protocol2,0,2.287987353993491,0.0,1,53.35,Single,Vet5,12.0,55.840219418991126,6,87.49999999999999,0.0,53.35,18.6725,Major,66.28512315010069,Medium,0.0,True,1.8369742445366228,-1.5927957469019451,0.0,18.6725,160.73524639695447,0.0,69,Medium
467,2118,44,1.77,Male,New Zealand White,Catheter,51,Protocol2,0,0.07445560879676075,1.0,3,50.08,Group,Vet1,1.5,34.89224959054537,2,28.8135593220339,1.0,50.08,18.177999999999997,Minor,29.86197699661668,Low,0.0,0,-0.7337069734126934,-1.0412027024059802,28.8135593220339,0.0,-21.14070940341659,0.0,30,Low
468,1573,21,1.6,Male,Dutch Belted,Castration,26,Protocol1,0,0.0235663605120513,4.0,0,34.23,Single,Vet5,5.5,42.9717287375465,1,16.25,4.0,34.23,14.580499999999997,Minor,43.9101187604853,Medium,2.0,True,-0.845228415123956,0.8108106423904566,65.0,0.0,-13.734961745764284,0.0,35,Medium
469,6443,37,2.81,Male,Dutch Belted,OcularImplant,67,Protocol1,0,0.02498293302824929,4.0,2,66.34,Group,Vet9,10.0,66.40372915528296,5,23.843416370106763,4.0,66.34,25.819000000000003,Major,84.65235692834678,High,4.0,1,-0.8420497144078474,0.6612353531144114,95.37366548042705,25.819000000000003,-20.07734194495579,0.0,63,Medium
470,8631,39,4.95,Male,New Zealand White,Castration,20,Protocol1,1,0.03193944112649523,5.0,3,45.68,Group,Vet1,5.5,40.53854715671447,4,4.040404040404041,5.0,45.68,19.238,Minor,39.679440128503245,Medium,4.0,True,-0.8265032289012033,1.4508306915350344,20.202020202020204,0.0,-3.3394069854594077,5.0,44,Medium
471,3259,36,2.99,Male,Californian,Catheter,23,Protocol2,0,1.3731073960140292,5.0,5,39.99,Group,Vet3,1.5,39.17517247747204,1,7.692307692307692,5.0,39.99,17.246499999999997,Minor,37.30888128147959,Medium,3.0,False,1.0875198440204277,1.30527626449334,38.46153846153846,0.0,8.365537261695597,0.0,33,Low
472,1330,18,4.66,Male,Californian,Castration,26,Protocol1,1,0.027102382721088954,2.0,2,50.6,Single,Vet3,5.5,37.56926898029187,1,5.579399141630901,2.0,50.6,19.01,Minor,34.51662703129652,Low,2.0,0,-0.8373019951309145,-0.46153836354089467,11.158798283261802,0.0,-4.671642032919266,2.0,45,Medium
473,2793,37,3.71,Female,New Zealand White,Ovariohysterectomy,65,Protocol2,0,2.628068465819823,5.0,2,56.29,Single,Vet4,8.0,51.596080847749924,3,17.52021563342318,5.0,56.29,22.9515,Major,58.90565484162325,Medium,4.0,False,2.0631945589596192,1.4370566866451555,87.6010781671159,22.9515,36.14761356667797,0.0,69,Medium
474,4349,36,1.0,Male,Dutch Belted,Catheter,20,Protocol1,1,1.4093661377258615,4.0,0,40.84,Single,Vet10,1.5,42.18606994632336,2,20.0,4.0,40.84,16.894000000000002,Minor,42.544059652426455,Medium,3.0,False,1.122371679273457,0.8164789239247752,80.0,0.0,22.447433585469142,4.0,34,Low
475,4466,14,4.41,Male,Dutch Belted,OcularImplant,74,Protocol2,1,0.3415852719620704,0.0,0,32.54,Single,Vet7,10.0,35.33399180510934,4,16.780045351473923,0.0,32.54,11.389,Major,30.630053396143413,Low,2.0,0,-0.22337337976542393,-1.6423012000541857,0.0,11.389,-3.748215442775821,0.0,61,Medium
476,6660,17,2.71,Male,Dutch Belted,Castration,20,Protocol1,0,0.04470175666274139,5.0,2,50.6,Single,Vet5,5.5,59.37355893738689,2,7.380073800738008,5.0,50.6,20.96,Minor,72.428694233235,High,4.0,1,-0.798252434938654,1.411712239713557,36.90036900369004,0.0,-5.891161881466082,0.0,40,Medium
477,6425,34,4.44,Male,Dutch Belted,Castration,20,Protocol2,0,0.016999499644668917,2.0,3,48.91,Single,Vet7,5.5,44.304568860504645,2,4.504504504504504,2.0,48.91,18.418499999999998,Minor,46.22758584657065,Medium,2.0,False,-0.8600217427470952,-0.45135568178924096,9.009009009009008,0.0,-3.873971814176104,0.0,45,Medium
478,6897,44,2.42,Female,Dutch Belted,Catheter,47,Protocol2,0,0.010018937364264758,2.0,1,40.23,Group,Vet3,1.5,31.274364024353225,1,19.421487603305785,2.0,40.23,15.380499999999998,Minor,23.571402023329462,Low,2.0,0,-0.8758521322921315,-0.46153836354089467,38.84297520661157,0.0,-17.01035132964057,0.0,34,Low
479,2760,37,4.74,Female,New Zealand White,Ovariohysterectomy,116,Protocol2,1,0.040193283501816716,3.0,1,40.74,Group,Vet10,8.0,47.12566091900586,6,24.472573839662445,3.0,40.74,16.209,Major,51.132741296035356,Medium,4.0,False,-0.8081928186060626,0.19766608095017152,73.41772151898734,16.209,-19.778558430021786,3.0,57,Medium
480,7445,31,2.07,Male,Californian,Catheter,25,Protocol2,0,0.027680406451141108,5.0,3,50.08,Single,Vet2,1.5,53.707839096646296,2,12.077294685990339,5.0,50.08,20.778,Minor,62.57746074788967,Medium,5.0,False,-0.8360088807608558,1.42375984846594,60.38647342995169,0.0,-10.096725613053813,0.0,28,Low
481,5317,34,2.59,Male,New Zealand White,Castration,29,Protocol1,1,1.485539012494103,5.0,0,50.6,Group,Vet8,5.5,42.512285846659466,3,11.196911196911197,5.0,50.6,20.96,Minor,43.11126542524545,Medium,5.0,False,1.1939115751677218,1.292330011475,55.98455598455598,0.0,13.368121884117349,5.0,43,Medium
482,9776,33,2.77,Male,Californian,Catheter,35,Protocol2,1,0.016583024850777835,2.0,5,65.59,Group,Vet6,1.5,47.96194278715482,1,12.635379061371841,2.0,65.59,24.2565,Minor,52.58682094950782,Medium,2.0,False,-0.8609631642300919,-0.46059994921952757,25.270758122743683,0.0,-10.878595937925349,2.0,26,Low
483,7163,37,3.57,Female,Californian,Catheter,40,Protocol2,0,0.23465589977403437,4.0,2,50.08,Group,Vet1,1.5,49.405146306936636,3,11.204481792717088,4.0,50.08,20.128,Minor,55.09618167327853,Medium,3.0,False,-0.4142783596372338,0.8278223430497808,44.81792717086835,0.0,-4.6417743376720875,0.0,46,Medium
484,4270,33,2.38,Male,Californian,Castration,28,Protocol2,0,0.032809014483484195,3.0,5,50.6,Single,Vet5,5.5,47.64947247331708,4,11.764705882352942,3.0,50.6,19.66,Minor,52.04351522571963,Medium,4.0,False,-0.8245672693539382,0.20990904506735622,35.294117647058826,0.0,-9.70079140416398,0.0,28,Low
485,5791,44,2.42,Female,Dutch Belted,BoneDefect,109,Protocol1,0,0.020126134850959224,3.0,5,48.32,Group,Vet6,12.0,63.504820328774755,8,45.04132231404959,3.0,48.32,18.862,Major,79.61189808015074,High,4.0,1,-0.8529664194597739,0.14890417118822247,135.12396694214877,18.862,-38.4187354219485,0.0,81,High
486,5756,28,2.13,Male,Californian,Castration,22,Protocol2,0,0.4716021971574387,1.0,4,61.51,Single,Vet3,5.5,49.813370337977034,4,10.328638497652582,1.0,61.51,22.178499999999996,Minor,55.80597854943012,Medium,0.0,False,-0.010771108608749696,-1.0504765728856396,10.328638497652582,0.0,-0.11125088703872925,0.0,41,Medium
487,5621,28,1.69,Female,Dutch Belted,Ovariohysterectomy,48,Protocol1,1,1.1159185303762704,5.0,0,36.31,Single,Vet10,8.0,47.87579380971598,4,28.402366863905325,5.0,36.31,15.9585,Major,52.437029975875284,Medium,3.0,True,0.8238666179740544,1.435291766899379,142.01183431952663,15.9585,23.399761930624027,5.0,58,Medium
488,2977,34,4.87,Male,New Zealand White,BoneDefect,166,Protocol2,0,1.2279666575973425,3.0,4,59.02,Group,Vet1,12.0,58.99186119863566,9,34.08624229979466,3.0,59.02,22.607,Major,71.76501977509675,High,4.0,1,0.9424652799525445,0.20481399456452706,102.25872689938399,22.607,32.12509989160624,0.0,78,High
489,6715,11,1.8,Male,New Zealand White,Catheter,20,Protocol2,0,1.8351111137107678,0.0,5,49.43,Single,Vet9,1.5,34.18088204604069,3,11.11111111111111,0.0,49.43,17.3005,Minor,28.62509131010234,Low,1.0,0,1.4963627725853017,-1.834442999949462,0.0,0.0,16.626253028725575,0.0,25,Low
490,8919,40,3.93,Female,Dutch Belted,BoneDefect,130,Protocol1,0,0.011335516368129878,5.0,0,42.44,Single,Vet9,12.0,58.618032022562325,6,33.07888040712468,5.0,42.44,18.104,Major,71.11502672908492,High,4.0,1,-0.8728580640944628,1.2851549413803798,165.3944020356234,18.104,-28.8731675145751,0.0,87,High
491,9711,27,4.26,Male,New Zealand White,BoneDefect,132,Protocol2,0,0.015720077914464725,3.0,4,42.88,Single,Vet6,12.0,56.079472753772365,9,30.985915492957748,3.0,42.88,16.958,Major,66.7011233282474,Medium,3.0,False,-0.8629150428851022,0.14890417118822247,92.95774647887325,16.958,-26.738212596439787,0.0,78,High
492,3902,19,3.17,Male,Californian,Castration,20,Protocol2,0,1.8203301367412066,1.0,5,62.24,Group,Vet5,5.5,46.23449787897012,2,6.309148264984227,1.0,62.24,22.433999999999997,Minor,49.583237362259005,Medium,2.0,False,1.4843485738497821,-0.9918941495788447,6.309148264984227,0.0,9.364975229336165,0.0,38,Medium
493,6531,36,5.0,Male,New Zealand White,BoneDefect,174,Protocol1,0,0.024428206204112915,0.0,5,47.68,Single,Vet9,12.0,52.42409625501775,6,34.8,0.0,47.68,16.688,Major,60.34536124005901,Medium,2.0,False,-0.8432939633003118,-1.834442999949462,0.0,16.688,-29.34662992285085,0.0,79,High
494,7998,39,4.41,Female,New Zealand White,Ovariohysterectomy,50,Protocol2,0,2.618070305276942,4.0,0,62.62,Group,Vet3,8.0,54.75713464020902,3,11.337868480725623,4.0,62.62,24.517,Major,64.40191654262193,Medium,3.0,False,2.0568519065418114,0.716338055148595,45.35147392290249,24.517,23.320316400700808,0.0,76,High
495,4216,24,2.62,Male,New Zealand White,Catheter,46,Protocol1,1,0.02127307261283912,0.0,0,37.63,Single,Vet5,1.5,27.55441531390341,1,17.557251908396946,0.0,37.63,13.1705,Minor,17.103365422465647,Low,0.0,0,-0.8503837481785917,-1.5927957469019451,0.0,0.0,-14.930401685578328,0.0,26,Low
496,2286,28,2.77,Female,New Zealand White,Ovariohysterectomy,109,Protocol2,0,0.042371956494075505,2.0,2,50.27,Single,Vet9,8.0,53.08032068245,4,39.35018050541516,2.0,50.27,18.8945,Major,61.48636719078338,Medium,1.0,False,-0.8033838629706067,-0.5866038234175253,78.70036101083032,18.8945,-31.613300023031094,0.0,54,Medium
497,2049,37,3.28,Male,Dutch Belted,Castration,29,Protocol2,0,0.4142816787148639,0.0,5,49.02,Group,Vet3,5.5,44.05812578172641,4,8.841463414634147,0.0,49.02,17.157,Minor,45.79908454785935,Medium,1.0,True,-0.10208683062003837,-1.6394147822303844,0.0,0.0,-0.9025969780430222,0.0,37,Medium
498,4909,26,2.12,Male,Californian,Castration,23,Protocol2,1,0.049013421686414836,5.0,2,31.94,Group,Vet7,5.5,40.52344356526512,4,10.849056603773585,5.0,31.94,14.429,Minor,39.653178857205475,Medium,5.0,False,-0.7887860272770298,1.335062595608176,54.24528301886792,0.0,-8.557584258194192,5.0,42,Medium
499,1376,20,4.5,Male,Californian,OcularImplant,140,Protocol1,1,0.02150563772103741,3.0,0,49.86,Group,Vet2,10.0,47.889220817751735,4,31.11111111111111,3.0,49.86,19.400999999999996,Major,52.46037609867836,Medium,4.0,False,-0.8498604124149357,0.20249379139775678,93.33333333333333,19.400999999999996,-26.44010171957578,3.0,58,Medium
500,4881,35,3.02,Male,Californian,OcularImplant,77,Protocol1,0,1.5603308002747993,0.0,2,65.98,Group,Vet7,10.0,58.25034925143333,5,25.496688741721854,0.0,65.98,23.093,Major,70.47572070465272,High,0.0,1,1.2620523173031561,-1.6423012000541857,0.0,23.093,32.178155110047356,0.0,65,Medium
501,4841,28,4.93,Male,New Zealand White,Castration,20,Protocol1,0,0.026295042678302454,0.0,2,73.26,Group,Vet3,5.5,52.03273928487046,3,4.056795131845842,0.0,73.26,25.641000000000002,Minor,59.66489185621909,Medium,0.0,False,-0.8391093385424027,-1.6394147822303844,0.0,0.0,-3.404094679685204,0.0,41,Medium
502,3459,28,4.88,Female,Californian,Ovariohysterectomy,77,Protocol1,1,0.028216598435305034,0.0,3,70.56,Single,Vet5,8.0,56.76398941547329,4,15.778688524590164,0.0,70.56,24.695999999999998,Major,67.89132221710447,Medium,0.0,False,-0.8348099995582764,-1.5927957469019451,0.0,24.695999999999998,-13.172206960243296,0.0,67,Medium
503,8081,33,4.38,Male,Californian,Castration,27,Protocol2,1,0.23904905306981883,5.0,2,52.74,Group,Vet5,5.5,47.45226369587405,1,6.164383561643835,5.0,52.74,21.709,Minor,51.70061974790566,Medium,5.0,False,-0.40611467736868556,1.411712239713557,30.821917808219176,0.0,-2.5034466413138152,5.0,40,Medium
504,1092,19,3.01,Male,New Zealand White,Castration,20,Protocol2,0,0.020113850204780414,5.0,1,26.25,Single,Vet3,5.5,34.00665528947983,3,6.64451827242525,5.0,26.25,12.4375,Minor,28.322155671468447,Low,5.0,0,-0.8529940977064452,1.30527626449334,33.22259136212625,0.0,-5.667734868481364,0.0,44,Medium
505,1665,12,2.09,Female,Californian,BoneDefect,96,Protocol1,0,2.2938167396207687,4.0,1,56.75,Group,Vet3,12.0,57.12779684244494,7,45.93301435406699,4.0,56.75,22.4625,Major,68.52389001211425,Medium,3.0,True,1.8410455634773968,0.716338055148595,183.73205741626796,22.4625,84.56477229369862,0.0,78,High
506,3398,39,4.69,Male,New Zealand White,Castration,20,Protocol1,0,2.5957437735333135,3.0,5,34.29,Single,Vet4,5.5,32.60896313283736,2,4.264392324093817,3.0,34.29,13.9515,Minor,25.891927534045923,Low,4.0,0,2.042624855707566,0.19376045213193113,12.79317697228145,0.0,8.710553755682584,0.0,41,Medium
507,5716,21,3.4,Female,Dutch Belted,Catheter,20,Protocol2,0,0.4786608879251566,4.0,2,64.54,Group,Vet6,1.5,52.09213771416982,3,5.882352941176471,4.0,64.54,25.189000000000004,Minor,59.768170488438635,Medium,4.0,False,0.00022708644292646722,0.7584082915959725,23.529411764705884,0.0,0.0013358026054498073,0.0,29,Low
508,8050,19,3.6,Male,Californian,Castration,20,Protocol2,1,2.3282729022773903,3.0,2,50.78,Group,Vet10,5.5,41.60636862668658,4,5.555555555555555,3.0,50.78,19.723,Minor,41.53610775716328,Medium,2.0,False,1.8649640089684305,0.19766608095017152,16.666666666666664,0.0,10.360911160935725,3.0,35,Medium
509,9733,24,5.0,Female,New Zealand White,BoneDefect,136,Protocol1,1,1.180897473164181,4.0,5,47.44,Group,Vet7,12.0,51.338750452859934,8,27.2,4.0,47.44,19.204,Major,58.458223292906574,Medium,2.0,False,0.893387643797507,0.7395898364757038,108.8,19.204,24.30014391129219,4.0,74,High
510,2945,34,2.92,Male,Dutch Belted,Catheter,52,Protocol2,0,0.30894291674642416,0.0,2,41.41,Single,Vet5,1.5,33.681092362440396,1,17.808219178082194,0.0,41.41,14.493499999999997,Minor,27.75608525171774,Low,2.0,0,-0.2799879473621482,-1.5927957469019451,0.0,0.0,-4.986086733846475,0.0,32,Low
511,5209,47,4.26,Female,New Zealand White,OcularImplant,76,Protocol1,0,0.030664535339530275,0.0,1,53.26,Single,Vet4,10.0,51.92991352110053,7,17.84037558685446,0.0,53.26,18.641,Major,59.48610422893075,Medium,1.0,False,-0.8293445444944854,-1.6711838996379054,0.0,18.641,-14.795818164690349,0.0,64,Medium
512,5675,36,3.83,Male,New Zealand White,Castration,20,Protocol2,1,0.9615688649417908,4.0,5,61.15,Single,Vet10,5.5,50.077072348459865,3,5.221932114882507,4.0,61.15,24.0025,Minor,56.26448870327525,Medium,5.0,False,0.6497750205455325,0.8164789239247752,20.887728459530027,0.0,3.3930810472351567,4.0,44,Medium
513,4626,35,2.45,Male,New Zealand White,BoneDefect,145,Protocol1,1,0.397716776952989,5.0,2,42.83,Single,Vet8,12.0,52.77148082585914,6,59.18367346938775,5.0,42.83,18.240499999999997,Major,60.94937390089642,Medium,3.0,False,-0.1291660404889137,1.292330011475,295.91836734693874,18.240499999999997,-7.644520763629585,5.0,71,High
514,2152,20,4.67,Female,New Zealand White,Ovariohysterectomy,99,Protocol1,1,0.02409961507709397,0.0,0,33.89,Single,Vet8,8.0,34.021280074068635,5,21.19914346895075,0.0,33.89,11.8615,Major,28.347584420454798,Low,2.0,0,-0.8440313089917307,-1.8018272918027072,0.0,11.8615,-17.892740811602003,0.0,57,Medium
515,9625,51,5.0,Female,Californian,BoneDefect,90,Protocol1,0,0.023231060973185523,1.0,0,48.67,Group,Vet9,12.0,52.31426880275785,9,18.0,1.0,48.67,17.684499999999996,Major,60.15439947249453,Medium,0.0,False,-0.8459814503224646,-1.2105234116834935,18.0,17.684499999999996,-15.227666105804364,0.0,82,High
516,8686,39,3.83,Female,Dutch Belted,OcularImplant,99,Protocol2,1,2.1036038137851327,2.0,5,48.55,Group,Vet2,10.0,52.15144622743662,6,25.848563968668408,2.0,48.55,18.292499999999997,Major,59.87129277974197,Medium,0.0,True,1.7043292532936694,-0.4081392371363348,51.697127937336816,18.292499999999997,44.054463727434275,2.0,71,High
517,2878,18,2.32,Female,New Zealand White,BoneDefect,176,Protocol2,0,0.42487654279746984,3.0,2,37.66,Group,Vet1,12.0,51.678247427024594,9,75.86206896551725,3.0,37.66,15.130999999999997,Major,59.048521446376014,Medium,2.0,False,-0.0849328471350928,0.20481399456452706,227.58620689655174,15.130999999999997,-6.443181506800145,0.0,78,High
518,7412,35,3.86,Female,Dutch Belted,Ovariohysterectomy,46,Protocol2,0,0.018049724022309675,4.0,4,46.33,Single,Vet8,8.0,55.62274114232919,3,11.917098445595855,4.0,46.33,18.8155,Major,65.90698421248827,Medium,3.0,False,-0.8576494712396684,0.6734985508194586,47.66839378238342,18.8155,-10.220693180576358,0.0,64,Medium
519,7324,39,3.46,Male,Californian,OcularImplant,79,Protocol2,1,1.87759737648859,3.0,5,48.55,Group,Vet6,10.0,49.76021214945553,6,22.832369942196532,3.0,48.55,18.942499999999995,Major,55.713550095234844,Medium,5.0,False,1.5305506117822103,0.14890417118822247,68.4971098265896,18.942499999999995,34.946097783466655,3.0,59,Medium
520,9221,37,2.91,Female,Dutch Belted,Ovariohysterectomy,99,Protocol1,0,1.916555117496332,1.0,1,48.2,Single,Vet10,8.0,48.437563977992255,3,34.02061855670103,1.0,48.2,17.52,Major,53.41380419845455,Medium,1.0,False,1.5614583743435797,-1.0399596049990358,34.02061855670103,17.52,53.12177974570941,0.0,57,Medium
521,6079,30,2.45,Male,New Zealand White,Catheter,51,Protocol1,0,1.665203498902028,4.0,1,45.62,Single,Vet10,1.5,41.64183182787484,3,20.816326530612244,4.0,45.62,18.567,Minor,41.597769167339465,Medium,3.0,False,1.3543194950236501,0.8164789239247752,83.26530612244898,0.0,28.191956835186186,0.0,36,Medium
